Symbol,Name,Current Price,% Change,Avg Stock Volume,Avg Option Volume,Date,Implied Move,Actual Move,Straddle Return,Avg Straddle Return,Max Return,Min Return,EtfHoldingsList,MarketCap
AMRK,A-Mark Precious Metals,26.47,0.0049,263304,168.0,2/6/2024,0.0786,-0.0343,-0.3657,-0.1282,0.1622,-0.3339,IWM,614394624.0
CNO,Cno Finl Group,27.23,0.0142,715710,28.0,2/6/2024,0.0439,0.0285,-0.2062,0.4497,1.52,-0.24,IWM,3126450432.0
ARI,Apollo Comml Real Est,10.74,0.0085,796356,350.0,2/6/2024,0.0714,-0.0489,-0.091,0.2084,0.4079,-0.0591,IWM,1526118528.0
OI,O-I Glass,15.52,-0.0366,1763363,551.0,2/6/2024,0.1001,0.1406,0.8207,0.1227,0.5193,-0.3028,IWM,2409118464.0
ASTL,Algoma Steel Group - Common Shares,8.21,0.034,610597,750.0,2/6/2024,0.0922,-0.0036,-0.084,-0.0689,0.168,-0.2381,,850292480.0
QGEN,Qiagen N.V. Common Shares,44.49,0.0084,1278072,175.0,2/6/2024,0.0584,-0.0286,-0.0259,-0.2479,-0.1202,-0.5292,,9847274496.0
AC,Associated Cap Gr,33.17,0.0125,5886,,2/6/2024,,0.008,,,,,,716181376.0
LPTV,Loop Media,0.6485,0.0133,154815,,2/6/2024,,0.0136,,,,,IWM,45947016.0
DHT,DHT Holdings,11.05,0.0055,2402721,1784.0,2/6/2024,0.0737,0.0466,0.0365,0.214,0.7187,-0.1295,IWM,1801001856.0
WFRD,Weatherford International PLC -,96.67,-0.0181,951105,741.0,2/6/2024,0.0767,0.0714,-0.0575,0.1117,0.3084,-0.1075,OIH - IWM,7072485888.0
TRVG,Trivago N.V. - American Depositary Shares,2.47,0.0,287328,28.0,2/6/2024,0.1079,-0.0316,-0.2467,-0.1045,-0.0404,-0.2234,,171036352.0
ICHR,Ichor Hldgs,42.9,0.0413,191664,104.0,2/6/2024,0.0907,0.0327,-0.2782,-0.0318,0.4069,-0.3101,IWM,1260402944.0
KREF,KKR Real Estate Finance Trust,9.52,-0.0186,497330,81.0,2/6/2024,0.0486,-0.1385,0.8482,0.1034,0.5999,-0.1447,IWM,659867968.0
SONO,Sonos,18.3,0.006,2222376,1151.0,2/6/2024,0.1416,0.1713,0.0116,0.404,1.8203,-0.5441,IWM,2271968512.0
HIW,Highwoods Props,23.85,-0.0091,1354962,134.0,2/6/2024,0.0689,0.0462,0.1987,-0.119,0.3383,-0.409,VNQ,2520363008.0
EXEL,Exelixis,20.22,0.0025,2114542,1617.0,2/6/2024,0.0562,-0.0756,0.5329,-0.1306,0.1787,-0.4661,IBB - XBI,6584373760.0
NBR,Nabors Industries Ltd.,79.18,-0.0157,266117,401.0,2/6/2024,0.0985,-0.0118,-0.2849,0.0405,0.2115,-0.0682,OIH - IWM,748756480.0
WERN,Werner Enterprises,41.61,0.0029,517709,43.0,2/6/2024,0.049,0.046,-0.2569,-0.161,0.0521,-0.3168,IWM,2637114624.0
AB,Alliancebernstein Holding LP  Units,33.21,0.0094,396273,382.0,2/6/2024,0.0513,0.0061,0.5864,-0.0133,0.0015,-0.0278,,3311329536.0
TENB,Tenable Holdings,51.89,0.0231,875239,568.0,2/6/2024,0.1252,0.0529,-0.4747,0.2485,0.9633,-0.2639,IWM,6067751936.0
UDR,Udr,35.37,-0.0034,2899420,87.0,2/6/2024,0.0421,-0.0067,-0.3138,-0.0843,0.0711,-0.3004,SPY - VNQ - XLRE - IYR,11642587136.0
ARWR,Arrowhead Pharmaceuticals,32.56,0.0554,1350407,535.0,2/6/2024,0.0909,-0.0467,0.0717,0.4568,1.3808,-0.2916,IBB - XBI - IWM,4032172032.0
USNA,Usana Health Sciences,50.89,0.0008,69531,4.0,2/6/2024,0.0476,0.04,-0.1086,0.3342,1.3524,-0.1567,IWM,973516032.0
GAIN,Gladstone Investment - Business Development Company,13.87,0.0184,181326,75.0,2/6/2024,0.0264,-0.0344,0.0459,0.0019,0.058,-0.0317,,497796512.0
SIMO,Silicon Motion Technology - American Depositary Shares Each Representing Four,68.46,0.0082,461448,1645.0,2/6/2024,0.0755,0.0311,-0.4221,-0.1577,0.13,-0.4438,,2262302464.0
INTA,Intapp,41.5,0.0234,444003,132.0,2/6/2024,0.1096,-0.1106,0.2449,0.2531,0.8279,-0.3612,IWM,2890717696.0
DIOD,Diodes,69.99,0.0182,347024,102.0,2/6/2024,0.0699,-0.0217,-0.2541,0.1032,0.3399,-0.0998,IWM,3215255040.0
HRB,H&R Block,46.93,0.0267,1203789,815.0,2/6/2024,0.072,-0.0188,-0.5061,-0.2205,0.5108,-0.5296,,6547706880.0
AEIS,Advanced Energy Industries,104.77,0.0386,222750,69.0,2/6/2024,0.0718,-0.0576,-0.0147,-0.087,0.1903,-0.2875,IWM,3944699392.0
