date,symbol,when,security_name,exchange_codes,before_eps_date,after_eps_date
2023-01-25,SEIC,postmarket,SEI Investments Company - Common Stock,,2023-01-25,2023-01-26
2023-01-25,SLG,postmarket,SL Green Realty Corp Common Stock,,2023-01-25,2023-01-26
2023-01-25,STLD,postmarket,"Steel Dynamics, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,STX,postmarket,Seagate Technology Holdings PLC - Ordinary Shares (Ireland),,2023-01-25,2023-01-26
2023-01-25,T,premarket,AT&T Inc.,,2023-01-24,2023-01-25
2023-01-25,TDY,premarket,Teledyne Technologies Incorporated Common Stock,,2023-01-24,2023-01-25
2023-01-25,TEL,premarket,TE Connectivity Ltd. New Switzerland Registered Shares,,2023-01-24,2023-01-25
2023-01-25,TFIN,postmarket,"Triumph Financial, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,TXT,premarket,Textron Inc. Common Stock,,2023-01-24,2023-01-25
2023-01-25,URI,postmarket,"United Rentals, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-25,USB,premarket,U.S. Bancorp Common Stock,,2023-01-24,2023-01-25
2023-01-25,UVSP,postmarket,Univest Financial Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-25,WASH,postmarket,"Washington Trust Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-25,WOLF,postmarket,"Wolfspeed, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,ABCB,postmarket,Ameris Bancorp - Common Stock,,2023-01-26,2023-01-27
2023-01-26,ADM,premarket,Archer-Daniels-Midland Company Common Stock,,2023-01-25,2023-01-26
2023-01-26,AIT,premarket,"Applied Industrial Technologies, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,AJG,postmarket,Arthur J. Gallagher & Co. Common Stock,,2023-01-26,2023-01-27
2023-01-26,AMAL,premarket,Amalgamated Financial Corp. - Common Stock,,2023-01-25,2023-01-26
2023-01-26,ASB,postmarket,Associated Banc-Corp Common Stock,,2023-01-26,2023-01-27
2023-01-26,AX,premarket,"Axos Financial, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,BFH,premarket,"Bread Financial Holdings, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,BY,postmarket,"Byline Bancorp, Inc. Common Stock",,2023-01-26,2023-01-27
2023-01-26,CBAN,postmarket,"Colony Bankcorp, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-26,CFR,premarket,"Cullen/Frost Bankers, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,CMCSA,premarket,Comcast Corporation - Class A Common Stock,,2023-01-25,2023-01-26
2023-01-26,EBC,postmarket,"Eastern Bankshares, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-26,EWBC,premarket,"East West Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,EXP,premarket,Eagle Materials Inc Common Stock,,2023-01-25,2023-01-26
2023-01-26,FFIC,postmarket,Flushing Financial Corporation - Common Stock,,2023-01-26,2023-01-27
2023-01-26,FFWM,premarket,First Foundation Inc. Common Stock,,2023-01-25,2023-01-26
2023-01-26,FIBK,postmarket,"First Interstate BancSystem, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-26,FICO,postmarket,Fair Isaac Corproation Common Stock,,2023-01-26,2023-01-27
2023-01-26,FLIC,premarket,The First of Long Island Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,FRME,premarket,First Merchants Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,FRST,postmarket,Primis Financial Corp. - Common Stock,,2023-01-26,2023-01-27
2023-01-26,GBCI,postmarket,"Glacier Bancorp, Inc. Common Stock",,2023-01-26,2023-01-27
2023-01-26,HFWA,premarket,Heritage Financial Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,IBCP,premarket,Independent Bank Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,INTC,postmarket,Intel Corporation - Common Stock,,2023-01-26,2023-01-27
2023-01-26,JBLU,premarket,JetBlue Airways Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,KNX,postmarket,Knight-Swift Transportation Holdings Inc.,,2023-01-26,2023-01-27
2023-01-26,LBAI,premarket,"Lakeland Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,LHX,premarket,"L3Harris Technologies, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,LYTS,premarket,LSI Industries Inc. - Common Stock,,2023-01-25,2023-01-26
2023-01-26,MA,premarket,Mastercard Incorporated Common Stock,,2023-01-25,2023-01-26
2023-01-26,MATW,postmarket,Matthews International Corporation - Class A Common Stock,,2023-01-26,2023-01-27
2023-01-26,MBLY,premarket,Mobileye Global Inc. - Class A Common Stock,,2023-01-25,2023-01-26
2023-01-26,MIXT,premarket,"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares",,2023-01-25,2023-01-26
2023-01-26,MMC,premarket,"Marsh & McLennan Companies, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,NOC,premarket,Northrop Grumman Corporation Common Stock,,2023-01-25,2023-01-26
2023-01-26,NTCT,premarket,"NetScout Systems, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,NUE,premarket,Nucor Corporation Common Stock,,2023-01-25,2023-01-26
2023-01-26,OFG,premarket,OFG Bancorp Common Stock,,2023-01-25,2023-01-26
2023-01-26,ORI,premarket,Old Republic International Corporation Common Stock,,2023-01-25,2023-01-26
2023-01-26,OSIS,premarket,"OSI Systems, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,PPBI,premarket,Pacific Premier Bancorp Inc - Common Stock,,2023-01-25,2023-01-26
2023-01-26,RHI,premarket,Robert Half Inc. Common Stock,,2023-01-25,2023-01-26
2023-01-26,ROK,premarket,"Rockwell Automation, Inc. Common Stock",,2023-01-25,2023-01-26
2023-01-26,SASR,premarket,"Sandy Spring Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,SBCF,postmarket,Seacoast Banking Corporation of Florida - Common Stock,,2023-01-26,2023-01-27
2023-01-26,SHW,premarket,Sherwin-Williams Company (The) Common Stock,,2023-01-25,2023-01-26
2023-01-26,SPFI,postmarket,"South Plains Financial, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-26,SSB,postmarket,SouthState Corporation Common Stock,,2023-01-26,2023-01-27
2023-01-26,STBA,premarket,"S&T Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,STM,premarket,STMicroelectronics N.V. Common Stock,,2023-01-25,2023-01-26
2023-01-26,TBBK,premarket,"The Bancorp, Inc. - Common Stock",,2023-01-25,2023-01-26
2023-01-26,TSCO,premarket,Tractor Supply Company - Common Stock,,2023-01-25,2023-01-26
2023-01-26,V,postmarket,Visa Inc.,,2023-01-26,2023-01-27
2023-01-26,VLO,premarket,Valero Energy Corporation Common Stock,,2023-01-25,2023-01-26
2023-01-26,VLY,premarket,Valley National Bancorp - Common Stock,,2023-01-25,2023-01-26
2023-01-26,WBS,premarket,Webster Financial Corporation Common Stock,,2023-01-25,2023-01-26
2023-01-26,WRB,postmarket,W.R. Berkley Corporation Common Stock,,2023-01-26,2023-01-27
2023-01-26,WRLD,premarket,World Acceptance Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,WSFS,premarket,WSFS Financial Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-26,XEL,premarket,Xcel Energy Inc. - Common Stock,,2023-01-25,2023-01-26
2023-01-26,XRX,premarket,Xerox Holdings Corporation - Common Stock,,2023-01-25,2023-01-26
2023-01-27,AXP,premarket,American Express Company Common Stock,,2023-01-26,2023-01-27
2023-01-27,BAH,premarket,Booz Allen Hamilton Holding Corporation Common Stock,,2023-01-26,2023-01-27
2023-01-27,BMI,premarket,"Badger Meter, Inc. Common Stock",,2023-01-26,2023-01-27
2023-01-27,CL,premarket,Colgate-Palmolive Company Common Stock,,2023-01-26,2023-01-27
2023-01-27,DCOM,premarket,"Dime Community Bancshares, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-27,FBP,premarket,First BanCorp. New Common Stock,,2023-01-26,2023-01-27
2023-01-27,FHB,premarket,"First Hawaiian, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-27,GNTX,premarket,Gentex Corporation - Common Stock,,2023-01-26,2023-01-27
2023-01-27,HMST,postmarket,"HomeStreet, Inc. - Common Stock",,2023-01-27,2023-01-30
2023-01-27,PFS,premarket,"Provident Financial Services, Inc Common Stock",,2023-01-26,2023-01-27
2023-01-27,SBSI,premarket,"Southside Bancshares, Inc. - Common Stock",,2023-01-26,2023-01-27
2023-01-27,STEL,premarket,"Stellar Bancorp, Inc. Common Stock",,2023-01-26,2023-01-27
2023-01-30,ARE,postmarket,"Alexandria Real Estate Equities, Inc. Common Stock",,2023-01-30,2023-01-31
2023-01-30,ARLP,premarket,"Alliance Resource Partners, L.P. - Common Units Representing Limited Partnership Interests",,2023-01-27,2023-01-30
2023-01-30,CADE,postmarket,Cadence Bank Common Stock,,2023-01-30,2023-01-31
2023-01-30,CSWC,postmarket,Capital Southwest Corporation - Common Stock,,2023-01-30,2023-01-31
2023-01-30,FISI,postmarket,"Financial Institutions, Inc. - Common Stock",,2023-01-30,2023-01-31
2023-01-30,GEHC,premarket,GE HealthCare Technologies Inc. - Common Stock,,2023-01-27,2023-01-30
2023-01-30,GGG,postmarket,Graco Inc. Common Stock,,2023-01-30,2023-01-31
2023-01-30,HLIT,postmarket,Harmonic Inc. - Common Stock,,2023-01-30,2023-01-31
2023-01-30,HTLF,postmarket,"Heartland Financial USA, Inc. - Common Stock",,2023-01-30,2023-01-31
2023-01-30,LICY,premarket,Li-Cycle Holdings Corp. Common Shares,,2023-01-27,2023-01-30
2023-01-30,NXPI,postmarket,NXP Semiconductors N.V. - Common Stock,,2023-01-30,2023-01-31
2023-01-30,PCH,postmarket,PotlatchDeltic Corporation - Common Stock,,2023-01-30,2023-01-31
2023-01-30,SANM,premarket,Sanmina Corporation - Common Stock,,2023-01-27,2023-01-30
2023-01-30,SBT,premarket,"Sterling Bancorp, Inc. - Common Stock",,2023-01-27,2023-01-30
2023-01-30,SILC,premarket,Silicom Ltd - Ordinary Shares,,2023-01-27,2023-01-30
2023-01-30,SOFI,premarket,"SoFi Technologies, Inc.  - Common Stock",,2023-01-27,2023-01-30
2023-01-30,WHR,premarket,Whirlpool Corporation Common Stock,,2023-01-27,2023-01-30
2023-01-30,WWD,premarket,"Woodward, Inc. - Common Stock",,2023-01-27,2023-01-30
2023-01-31,ALGM,premarket,"Allegro MicroSystems, Inc. - Common Stock",,2023-01-30,2023-01-31
2023-01-31,AMGN,postmarket,Amgen Inc. - Common Stock,,2023-01-31,2023-02-01
2023-01-31,AOS,premarket,A.O. Smith Corporation Common Stock,,2023-01-30,2023-01-31
2023-01-31,BXP,postmarket,"Boston Properties, Inc. Common Stock",,2023-01-31,2023-02-01
2023-01-31,CACC,postmarket,Credit Acceptance Corporation - Common Stock,,2023-01-31,2023-02-01
2023-01-31,CAT,premarket,"Caterpillar, Inc. Common Stock",,2023-01-30,2023-01-31
2023-01-31,CB,postmarket,Chubb Limited  Common Stock,,2023-01-31,2023-02-01
2023-01-31,CENT,postmarket,Central Garden & Pet Company - Common Stock,,2023-01-31,2023-02-01
2023-01-31,CP,postmarket,Canadian Pacific Kansas City Limited Common Shares,,2023-01-31,2023-02-01
2023-01-31,DOV,premarket,Dover Corporation Common Stock,,2023-01-30,2023-01-31
2023-01-31,EW,postmarket,Edwards Lifesciences Corporation Common Stock,,2023-01-31,2023-02-01
2023-01-31,HA,postmarket,"Hawaiian Holdings, Inc. - Common Stock",,2023-01-31,2023-02-01
2023-01-31,HLI,postmarket,"Houlihan Lokey, Inc. Class A Common Stock",,2023-01-31,2023-02-01
2023-01-31,HP,premarket,"Helmerich & Payne, Inc. Common Stock",,2023-01-30,2023-01-31
2023-01-31,IMO,premarket,Imperial Oil Limited Common Stock,,2023-01-30,2023-01-31
2023-01-31,INTU,postmarket,Intuit Inc. - Common Stock,,2023-01-31,2023-02-01
2023-01-31,JNPR,postmarket,"Juniper Networks, Inc. Common Stock",,2023-01-31,2023-02-01
2023-01-31,KEX,premarket,Kirby Corporation Common Stock,,2023-01-30,2023-01-31
2023-01-31,LII,premarket,"Lennox International, Inc. Common Stock",,2023-01-30,2023-01-31
