date,symbol,security_name,premarket_pub,before_eps_date,after_eps_date,Adj Close,Close,Adj Close_pct_change,Close_pct_change,EPS Estimate,Reported EPS,Surprise(%),premarket
2023-01-23,SMBK,"SmartFinancial, Inc. Common Stock",1,2023-01-20,2023-01-23,27.1200008392334,27.1200008392334,-0.0033075431189785,-0.0033075431189785,0.74,0.77,0.0391,1.0
2023-01-23,SYF,Synchrony Financial Common Stock,1,2023-01-20,2023-01-23,34.560001373291016,34.560001373291016,-0.0240044755092879,-0.0240044755092879,1.11,1.26,0.1352,1.0
2023-01-23,TRST,TrustCo Bank Corp NY - Common Stock,0,2023-01-23,2023-01-24,37.349998474121094,37.349998474121094,0.0152214608496354,0.0152214608496354,0.99,1.1,0.1110999999999999,
2023-01-23,ZION,Zions Bancorporation N.A. - Common Stock,1,2023-01-20,2023-01-23,52.650001525878906,52.650001525878906,0.022727311461661,0.022727311461661,1.64,1.84,0.1199,1.0
2023-01-24,AUB,Atlantic Union Bankshares Corporation Common Stock,1,2023-01-23,2023-01-24,37.970001220703125,37.970001220703125,0.0388509442758822,0.0388509442758822,0.82,0.9,0.1043,1.0
2023-01-24,CBU,"Community Bank System, Inc. Common Stock",1,2023-01-23,2023-01-24,60.04999923706055,60.04999923706055,-0.0134713275704476,-0.0134713275704476,0.93,0.97,0.0395,1.0
2023-01-24,TRMK,Trustmark Corporation - Common Stock,0,2023-01-24,2023-01-25,28.549999237060547,28.549999237060547,-0.1353725366061324,-0.1353725366061324,0.57,-0.56,-1.981,
2023-01-24,TXN,Texas Instruments Incorporated - Common Stock,1,2023-01-23,2023-01-24,177.0399932861328,177.0399932861328,-0.00634228486516,-0.00634228486516,1.98,2.13,0.0755,1.0
2023-01-24,UMBF,UMB Financial Corporation - Common Stock,1,2023-01-23,2023-01-24,85.3499984741211,85.3499984741211,-0.0140926559432119,-0.0140926559432119,1.99,2.06,0.0331,1.0
2023-01-24,UNP,Union Pacific Corporation Common Stock,1,2023-01-23,2023-01-24,203.17999267578125,203.17999267578125,-0.0330748205659977,-0.0330748205659977,2.78,2.67,-0.0379,1.0
2023-01-24,VBTX,"Veritex Holdings, Inc. - Common Stock",0,2023-01-24,2023-01-25,26.559999465942383,26.559999465942383,-0.0703535264386429,-0.0703535264386429,0.88,0.76,-0.1341,
2023-01-24,WAL,Western Alliance Bancorporation Common Stock (DE),0,2023-01-24,2023-01-25,70.58999633789062,70.58999633789062,0.048885484947194,0.048885484947194,2.66,2.67,0.0025,
2023-01-25,ABT,Abbott Laboratories Common Stock,1,2023-01-24,2023-01-25,111.0,111.0,-0.0135963635998755,-0.0135963635998755,0.92,1.03,0.1223,1.0
2023-01-25,ADP,"Automatic Data Processing, Inc. - Common Stock",1,2023-01-24,2023-01-25,228.0099945068359,228.0099945068359,-0.0465816419567644,-0.0465816419567644,1.94,1.96,0.0125,1.0
2023-01-25,ALRS,Alerus Financial Corporation - Common Stock,1,2023-01-24,2023-01-25,22.5,22.5,-0.0105540797508267,-0.0105540797508267,0.57,0.53,-0.0718,1.0
2023-01-25,AMP,"Ameriprise Financial, Inc. Common Stock",0,2023-01-25,2023-01-26,347.3599853515625,347.3599853515625,0.0126817744733158,0.0126817744733158,6.48,6.94,0.0713,
2023-01-25,AXS,Axis Capital Holdings Limited Common Stock,0,2023-01-25,2023-01-26,63.470001220703125,63.470001220703125,0.0733975997664602,0.0733975997664602,1.76,1.95,0.1077999999999999,
